 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
1011101,28,28,28,14,28,28,28,4,14,28,28,28,7,28,28,28,4,28,14,28,28,28,7,28,4,7,28,28,28,14,28,28,28,4,7,28,28,28,14,28,28,2,28,28,28,7,28,14,28,28,4,7,28,28,28,28,7,28,4,28,14,28,28,28,28,14,28,4,28,7,28,28,28,28,7,4,28,28,14,28,7,28,28,28,2,28,28,14,28,28,28,7,4,28,28,28,14,28,28,28,7,4,28,7,28,28,28,14,28,4,28,28,28,7,28,28,28,14,4,28,28,28,14,28,28,28,1
1011110,12,12,12,12,12,6,12,12,12,6,12,6,12,12,12,12,12,3,12,6,12,12,12,6,12,12,12,12,12,6,12,12,12,6,12,3,12,12,12,6,12,12,12,12,12,6,12,6,12,12,12,12,12,3,12,12,12,6,12,6,12,12,12,12,12,12,6,12,6,12,12,12,3,12,12,12,12,12,6,12,6,12,12,12,12,12,6,12,12,12,3,12,6,12,12,12,6,12,12,12,12,12,6,12,12,12,6,12,3,12,12,12,12,12,6,12,6,12,12,12,6,12,12,12,12,12,1
1011111,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
1100000,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
1100001,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,3,12,6,12,6,12,6,4,6,12,6,12,6,12,6,12,6,12,3,12,6,12,6,12,2,12,6,12,6,12,6,12,6,4,6,12,3,12,6,12,6,12,6,12,6,12,12,6,12,6,12,6,12,6,12,3,12,6,4,6,12,6,12,6,12,6,12,2,12,6,12,6,12,3,12,6,12,6,12,6,12,6,12,6,4,6,12,6,12,6,12,3,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,1
1100010,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,1
1100011,105,105,105,105,105,105,105,105,15,105,105,105,105,105,105,105,105,105,15,105,105,105,105,105,105,15,105,105,7,105,105,105,105,105,105,105,105,15,7,105,105,105,105,105,105,105,15,105,105,105,105,105,15,105,105,105,105,7,105,15,105,105,105,105,105,105,105,15,105,105,105,105,105,105,105,105,15,7,105,105,105,105,7,105,105,105,15,105,105,105,105,105,105,15,105,105,105,15,105,105,105,105,105,105,7,105,15,105,105,105,105,105,15,105,105,7,105,105,105,15,105,105,105,105,105,105,105
1100100,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,2,31,62,31,62,31,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,31,62,31,62,31,2,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,1
1100101,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
1100110,93,93,93,93,31,93,93,93,93,93,31,93,93,31,93,93,93,93,31,93,93,31,93,31,93,93,93,93,31,93,93,93,93,93,31,93,93,31,93,31,93,93,93,93,31,93,93,31,93,93,93,93,31,3,93,93,93,93,31,93,93,31,93,93,93,31,93,93,93,93,31,93,31,93,93,31,93,93,93,93,31,93,93,31,93,93,93,93,93,31,3,93,93,93,31,93,31,93,93,31,93,93,93,93,93,31,93,93,3,93,31,93,93,31,93,93,93,93,31,93,31,93,93,31,93,93,93
